0, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
19.9218, 0, 2.61735, -1.05529, 1.54643, -2.14832, 0.417068, 2.95509, -0.808836, 1.72804, -1.95124, 0.724804, -2.84893, -0.142125, 2.54689, -1.06759, 1.5816, -2.07138, 0.541064, -3.14159, -0.541064
20.2148, 0, 2.62613, -1.03187, 1.59387, -2.06151, 0.56908, -3.07856, -0.434994, 2.20949, -1.44566, 1.1653, -2.51145, 0.0968251, 2.70754, -0.964277, 1.64492, -2.03516, 0.557832, -3.14159, -0.557832
20.5078, 0, 2.62019, -1.04615, 1.56762, -2.10477, 0.500331, 3.10015, -0.581381, 2.03963, -1.58468, 1.0931, -2.52792, 0.112382, 2.738, -0.929669, 1.67628, -2.01228, 0.569491, -3.14159, -0.569491
20.8007, 0, 2.6471, -0.992028, 1.65462, -1.97069, 0.703775, -2.87226, -0.103526, 2.70963, -0.836826, 1.76099, -1.99186, 0.538081, 3.08721, -0.633667, 1.92742, -1.81517, 0.684056, -3.14159, -0.684056
21.0937, 0, 2.63789, -1.00718, 1.63831, -1.97977, 0.721445, -2.78814, 0.105661, 3.04235, -0.474784, 2.08691, -1.74198, 0.696431, -3.12007, -0.621932, 1.89577, -1.8653, 0.645947, -3.14159, -0.645947
21.3867, 0, 2.63076, -1.02496, 1.60162, -2.05184, 0.58164, -3.05772, -0.390101, 2.30046, -1.30373, 1.33555, -2.33845, 0.25896, 2.85378, -0.836596, 1.75039, -1.95775, 0.599568, -3.14159, -0.599568
21.6796, 0, 2.61404, -1.06749, 1.51856, -2.20063, 0.331795, 2.84345, -0.913949, 1.66909, -1.95891, 0.741754, -2.83254, -0.137785, 2.53618, -1.09262, 1.54652, -2.10715, 0.517869, -3.14159, -0.517869
21.9726, 0, 2.61197, -1.0684, 1.52195, -2.19043, 0.346536, 2.84197, -0.973839, 1.5288, -2.13232, 0.612045, -2.8827, -0.118931, 2.6013, -1.00016, 1.64906, -2.01548, 0.573501, -3.14159, -0.573501
22.2656, 0, 2.62218, -1.03747, 1.58919, -2.06055, 0.587378, -3.01695, -0.266419, 2.58883, -0.962514, 1.48712, -2.36021, 0.149719, 2.70634, -0.996454, 1.59701, -2.08378, 0.526198, -3.14159, -0.526198
22.5585, 0, 2.6049, -1.08251, 1.49932, -2.22526, 0.290772, 2.74209, -1.16782, 1.19216, -2.58615, 0.165321, 3.11871, -0.220518, 2.5992, -0.960219, 1.70159, -1.96809, 0.601891, -3.14159, -0.601891
